C,Mb,M,R,Rp,kl,hl,jl
0.0413189586611207,0.369931490639617,0.362783238679431,8.78006732102844,9.02508158476133,0.13770714864638,1.18275591597805,-0.00479311655386046
0.0468635453043938,0.420912749612874,0.411464533347535,8.78005559918569,9.05124121674626,0.145832625143237,1.18953949596223,-0.00581478435660759
0.0498625104479001,0.448703551594614,0.437876456626708,8.78167690903234,9.06690359637863,0.14963798723352,1.19220950291913,-0.00639140463092182
0.0529714735006544,0.478100924728507,0.465722066368342,8.79194093708926,9.09232201911849,0.152547296635522,1.19287769652692,-0.0069834677116504
0.0561897172377572,0.5091582404607,0.495037395068052,8.81010653556745,9.12683131207548,0.154544534821553,1.19148570898754,-0.00758692254025688
0.059610985414919,0.541931660570049,0.525854304440031,8.82143284127666,9.15484901513083,0.156874200831877,1.19066243955921,-0.00826323667017101
0.0631383964564643,0.576463753642858,0.558199445061187,8.84088726336408,9.19233393584848,0.15817686848556,1.18751413602979,-0.00894458917557832
0.066818254052628,0.612800794573209,0.592094138772423,8.86126324561059,9.23168561199861,0.1590521207089,1.18330518585297,-0.00966075621601546
0.0706543412814989,0.650982749396767,0.627555430208221,8.88205054106914,9.27240688859667,0.159516085058856,1.17806369452533,-0.0104127724527429
0.0745890047807952,0.691041551639845,0.664594779983681,8.91009046087713,9.32196509141225,0.158932200729609,1.17038449180431,-0.0111556978637424
0.0787398119938933,0.733011140589897,0.703212733712096,8.9308409037938,9.36467681403291,0.158581557767186,1.1630641699745,-0.0119756539659393
0.0830374955488411,0.77689829709132,0.743393421071966,8.95250291640498,9.40944993225922,0.15771353720925,1.15445516899705,-0.0128205842824204
0.087424452235499,0.822696317385679,0.785111167003732,8.98045280156682,9.46226599087368,0.155851332708623,1.14347114250578,-0.0136444850121796
0.0920201763676267,0.870438207246395,0.828357605523913,9.00191282197253,9.50915934579814,0.154106015411696,1.13258914556187,-0.0145382903593626
0.101582177352045,0.971810736136989,0.919396301438522,9.05076387811858,9.61343521046073,0.14876878515705,1.10611657748127,-0.0163256304779637
0.106592921117608,1.02524410186708,0.966945289138366,9.07138371854447,9.66331434433216,0.145762646141086,1.09186445847306,-0.0172631272445412
0.111702489170232,1.08022643250263,1.01556067094648,9.09165658250274,9.71408662106533,0.142366734225095,1.0765722159594,-0.018199305004761
0.116934324031213,1.13699090943296,1.06542061354668,9.1112735492642,9.76562159570834,0.138610713889922,1.0602548046212,-0.01913631032635
0.122344587457188,1.19619781336867,1.11706686212953,9.1304967824623,9.81864837724179,0.134465721702248,1.04273677447485,-0.0200786159117214
0.127989411933755,1.25751574850738,1.17015668522683,9.14260537295441,9.86526161236803,0.130460359495058,1.02532792356724,-0.0210913992263529
0.133342512411178,1.31717858678918,1.22144628620346,9.16021652897148,9.91813662572989,0.125910602826808,1.00681701130677,-0.0219594934969605
0.138170887290551,1.37059781287171,1.26704263922465,9.17011292371785,9.95953174588562,0.122025215113117,0.990688307170227,-0.0227567223101331
0.142516839428246,1.41782857627922,1.3070970652383,9.17152717168129,9.98848611925374,0.118836481810456,0.97700719880646,-0.0235069474510567
0.1465077974163,1.46270029571801,1.34494178007836,9.18000136372758,10.0255770624058,0.115098719198586,0.962175514933299,-0.0240791107644877
0.150783305991157,1.50821782998419,1.38308983888756,9.17269872679853,10.0455471218129,0.112036907536926,0.948893270619264,-0.0248139545418546
0.154962160525134,1.55391792035406,1.42117864162971,9.17113337097029,10.0738524262799,0.1083310548772,0.933861818944298,-0.0254165919901902
0.159033419608463,1.59877105427988,1.45833647190997,9.17000008866286,10.1036001282238,0.104428191682405,0.918314479817001,-0.0259390478356996
0.163127969170088,1.64239627704472,1.49425342196248,9.16000750554601,10.1232686786226,0.100907933634822,0.903782401062521,-0.0265095746266857
0.167267494857366,1.68500010211691,1.52910898302859,9.14169835766664,10.1335318737895,0.0977013793920245,0.890072066531447,-0.0271294662744744
0.171196263506575,1.72671265291347,1.56304801453022,9.13015262433101,10.152999248391,0.0939955848787926,0.875035298658849,-0.0275778130438787
0.179092452816863,1.80725454188129,1.6279729638076,9.09012601146482,10.1737234230947,0.0871406116491375,0.846353610394402,-0.0285118282230859
0.183061341257873,1.84590079652232,1.6588314840884,9.06161548194738,10.174652291696,0.0839975109312985,0.832752622134002,-0.0290046003589782
0.186791277912385,1.88337964441695,1.68859636880057,9.04001721960814,10.1850449983492,0.0804777527723784,0.818136844394155,-0.0293150756885709
0.19447082638215,1.95480860122934,1.7447765773031,8.97191938637872,10.1765631394388,0.0744152604100666,0.791503004897836,-0.0301301630662076
0.198103515393815,1.98859159916697,1.77112086671904,8.94038080645965,10.1765318854889,0.0712439344819872,0.777812585682524,-0.0303924397489258
0.201805127448849,2.0210708037077,1.79627909192518,8.9010577413623,10.1671213032224,0.0683754994685216,0.764949837151057,-0.0307194094216045
0.205420289478092,2.05223455652539,1.82027588780517,8.86122735212724,10.1577019908895,0.0655162540453777,0.752117336116209,-0.0309887696097373
0.208955181413604,2.08207101749485,1.84311722781303,8.82063424005164,10.1479700370058,0.0626844183475736,0.739364401303949,-0.0312050413170632
0.212378411658454,2.11041653220658,1.86468709638624,8.78002185732992,10.1386788908329,0.0598852500671341,0.726734850020919,-0.0313585829710046
0.215885137619253,2.13706821952178,1.88483466077301,8.73072913475501,10.118006912742,0.0574431218527941,0.71515339903446,-0.0316117911637302
0.21924947567141,2.16188462624675,1.90348129502712,8.68180546018673,10.0975988669496,0.0550648111913254,0.703851326729942,-0.0318097231847856
0.222297104009475,2.1848314923863,1.92064746757055,8.64000219943795,10.0865135406441,0.0525502055421356,0.692291477636908,-0.0318295003198449
0.225420672800662,2.20598604411045,1.9363687846776,8.59002309158181,10.0642968960354,0.0503701649054613,0.681751821849799,-0.0319538214598795
0.228420689493986,2.22539648556972,1.95071461406824,8.54000843088953,10.0419522319589,0.0482573621895508,0.671495731115571,-0.0320328930398225
0.231522063741326,2.2431759496489,1.96376386485832,8.48197287603825,10.0087879535627,0.0464150451794101,0.662050542940942,-0.0322152301676779
0.234326519173872,2.25930292124584,1.97556410732303,8.43081745202364,9.98519936355934,0.0444217389372358,0.65227541961038,-0.032218063672853
0.237006013898894,2.27380427316292,1.98611754763767,8.38003017292608,9.9623018901552,0.0424687209531701,0.642694585423942,-0.0321659980234453
0.2398152142044,2.28668650170224,1.99542906847077,8.32069422738966,9.92766417868183,0.0407818680348613,0.633911490614768,-0.032234344023309
0.244873144452817,2.3075361427196,2.01040862044662,8.21000042670662,9.86940487755643,0.0373657597413276,0.61653668005106,-0.032094678239908
0.247376154491743,2.31556105348597,2.01612766062284,8.15004851524657,9.83377362055595,0.035841129999886,0.608481719013753,-0.0320574807005154
0.249776233993682,2.32200979188774,2.02069994927406,8.09004090167032,9.79794679654196,0.0343675646351854,0.600666909371429,-0.0319865682677228
0.252073125661605,2.32689865066435,2.02415227589079,8.03002014029895,9.76194755237661,0.0329457664646289,0.593098131947661,-0.0318834282906477
0.254510366208291,2.33029487983339,2.02651318618636,7.96239939605394,9.71491465309821,0.0317270058721892,0.586144607843161,-0.0319019713129684
0.25663529483479,2.33214284478511,2.02781253489052,7.90153410580541,9.67724814086844,0.0304221727824525,0.579102992467439,-0.0317581467417304
0.258660823930565,2.33251342955668,2.02808117094809,7.84069709563946,9.6393568061935,0.0291694659568661,0.572316007226872,-0.031588231521634
0.262661033812388,2.32902460472117,2.02565432457219,7.71204733024488,9.55250648181441,0.0269429849180566,0.559784661992287,-0.0313227025930727
0.26442231984354,2.32518495209202,2.02302499432204,7.65073461090226,9.51286665343295,0.0258520438902528,0.553777054437027,-0.0311002918468552
0.266071035607208,2.3200252655913,2.01949697844641,7.59006696778424,9.47375154367705,0.0248017598991521,0.54800488352777,-0.0308487384212448
0.267909684775725,2.31361844198204,2.01510491028373,7.5215829243748,9.42271650484702,0.023926087407443,0.542738877398909,-0.0307427311556917
0.269407527420088,2.30592605065188,2.0098838927604,7.46038506053463,9.38184907068498,0.0229817114443271,0.537481424722756,-0.0304767168057392
0.271065233440549,2.29708754688689,2.00386933885494,7.39257230969988,9.33067958054098,0.0221845087349839,0.532657089269989,-0.0303368763880608
0.272419171841578,2.28704753547361,1.997096948413,7.33097063217849,9.28809645607727,0.0213397755250621,0.527895957373112,-0.0300626927882691
0.273667781552468,2.2759112782436,1.98960261585014,7.27013828432228,9.2460569262579,0.0205305897683927,0.523358963600029,-0.0297678288237514
0.27511570850123,2.26377009834026,1.98142229686777,7.20214162856105,9.19270793790724,0.0198650767715695,0.519217673982539,-0.0296170314615501
0.276237135116627,2.25057504935671,1.9725920169624,7.14093713768632,9.1487971730036,0.0191485907800787,0.515150913471082,-0.0293259013754479
0.277270342995492,2.23643329862571,1.96314772069469,7.08026577774531,9.10499035499065,0.0184682316925454,0.511303121915441,-0.0290249776729745
0.278222149249338,2.22139847945314,1.95312515884887,7.02002038341852,9.06110136849722,0.0178245425864953,0.50767275118037,-0.0287183818131567
0.279417274700872,2.20555474175336,1.94255979654713,6.95218217494508,9.00503509274656,0.0173156460285286,0.504373169328701,-0.0285722049235267
0.280264788445493,2.18887276073913,1.93148683032685,6.89165000369816,8.95916943856003,0.0167541347370988,0.50116721776307,-0.0282827034490059
0.281047164913081,2.17145017422014,1.91994117079867,6.83138423186885,8.91290502965391,0.0162279302798159,0.49816414733753,-0.0279960746266621
0.281767603748682,2.15333542126571,1.90795736249871,6.77138655088424,8.86622229951335,0.0157359829220353,0.495358332024718,-0.0277139443887585
